Rank,CCA3,Country/Territory,Capital,Continent,2020 Population,World Population Percentage
81,BEL,Belgium,Brussels,Europe,11561717,0.14748497765303548
82,HTI,Haiti,Port-au-Prince,North America,11306801,0.14423318723441503
83,JOR,Jordan,Amman,Asia,10928721,0.13941027725045163
84,DOM,Dominican Republic,Santo Domingo,North America,10999664,0.1403152489574774
85,CUB,Cuba,Havana,North America,11300698,0.14415533540508757
86,SSD,South Sudan,Juba,Africa,10606227,0.13529644014621892
87,SWE,Sweden,Stockholm,Europe,10368969,0.1322699008503683
88,CZE,Czech Republic,Prague,Europe,10530953,0.13433622081133512
89,HND,Honduras,Tegucigalpa,North America,10121763,0.1291164616695186
90,GRC,Greece,Athens,Europe,10512232,0.13409740971894785
91,AZE,Azerbaijan,Baku,Asia,10284951,0.13119814024141613
92,PRT,Portugal,Lisbon,Europe,10298192,0.13136704669269011
93,PNG,Papua New Guinea,Port Moresby,Oceania,9749640,0.12436954109196247
94,HUN,Hungary,Budapest,Europe,9750573,0.12438144273980165
95,TJK,Tajikistan,Dushanbe,Asia,9543207,0.12173621540237421
96,BLR,Belarus,Minsk,Europe,9633740,0.12289108344505874
97,ARE,United Arab Emirates,Abu Dhabi,Asia,9287289,0.11847164314973999
98,ISR,Israel,Jerusalem,Asia,8757489,0.11171334408736212
